Kecamatan ;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan; - ; - ;1; - ; - ; - ;1; - ;1; - ; - ; - 
Purwareja Klampok; - ;1; - ; - ; - ; - ; - ; - ;1; - ; - ; - 
Mandiraja; - ; - ; - ; - ;1;1; - ; - ;1;1; - ; - 
Purwanegara;1;1; - ; - ;1;1; - ; - ;2;3; - ;1
Bawang; - ; - ; - ; - ; - ;1; - ; - ;1;1; - ; - 
Banjarnegara; - ; - ; - ;1; - ; - ; - ; - ; - ;; - ;1
Pagedongan; - ; - ; - ; - ;1; - ; - ; - ; - ;1; - ;1
Sigaluh; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Madukara; - ; - ; - ; - ; - ;1; - ; - ; - ;1;1; - 
Banjarmangu; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanadadi; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Rakit; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Punggelan; - ; - ; - ; - ; - ;1; - ; - ; - ;2;1; - 
Karangkobar; - ; - ; - ; - ; - ; - ; - ; - ;1; - ; - ; - 
Pagentan; - ; - ; - ; - ; - ; - ; - ;1;1;1; - ; - 
Pejawaran; - ; - ; - ; - ; - ; - ;1; - ; - ; - ; - ; - 
Batur; - ; - ; - ; - ; - ; - ; - ;1; - ; - ;1; - 
Wanayasa; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;1
Kalibening; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;1
Pandanarum; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;1
