Kecamatan ;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan; - ; - ;1; - ; - ; - ; - ; - ; - ; - ;2; - 
Purwareja Klampok;2; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Mandiraja;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Purwanegara;1;1; - ; - ; - ; - ; - ; - ; - ; - ;1; - 
Bawang; - ; - ;2; - ; - ; - ; - ; - ; - ; - ;1; - 
Banjarnegara; - ; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pagedongan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;7;1
Sigaluh; - ; - ; - ; - ; - ; - ; - ; - ; - ;1; - ; - 
Madukara; - ; - ; - ;3;1; - ; - ; - ; - ; - ; - ; - 
Banjarmangu;1; - ; - ; - ; - ; - ; - ; - ; - ;1; - ;1
Wanadadi; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Rakit; - ; - ;1; - ; - ; - ; - ; - ; - ;1; - ; - 
Punggelan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Karangkobar; - ; - ; - ;1; - ; - ; - ; - ; - ; - ; - ; - 
Pagentan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pejawaran; - ; - ; - ; - ; - ; - ; - ; - ; - ;2; - ; - 
Batur; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanayasa; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Kalibening; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;29; - 
Pandanarum; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
