Kecamatan;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan; - ; - ; - ; - ; - ;1;3; - ; - ; - ; - ; - 
Purwareja Klampok;1; - ;1; - ; - ;1;1; - ;1; - ;1; - 
Mandiraja; - ;1; - ;1; - ; - ;1;3; - ;2; - ; - 
Purwanegara; - ; - ; - ; - ;1;1;1; - ;2;1; - ; - 
Bawang;1; - ;1; - ;1; - ;1;1;1;3; - ;2
Banjarnegara; - ;1; - ;2;1;1; - ;2; - ;2;1; - 
Pagedongan; - ; - ; - ; - ; - ; - ;1; - ;1; - ; - ; - 
Sigaluh; - ; - ; - ; - ; - ; - ; - ; - ; - ;1; - ; - 
Madukara; - ; - ; - ; - ;1; - ;1;1;1;6; - ; - 
Banjarmangu; - ; - ;2;1; - ; - ;1; - ; - ; - ; - ;4
Wanadadi; - ; - ; - ; - ; - ; - ; - ; - ; - ;3;2; - 
Rakit;1; - ;1; - ; - ; - ; - ; - ; - ;1;1; - 
Punggelan; - ; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - 
Karangkobar;1; - ;1;1; - ; - ; - ; - ; - ;1; - ; - 
Pagentan; - ; - ;2; - ;2;1; - ; - ; - ;1;1; - 
Pejawaran; - ; - ; - ; - ; - ; - ;1; - ; - ; - ;1; - 
Batur;1;1; - ; - ; - ; - ; - ;1; - ; - ; - ; - 
Wanayasa; - ; - ; - ; - ; - ;1; - ; - ; - ;1; - ; - 
Kalibening; - ; - ; - ; - ; - ;1; - ; - ;1; - ; - ; - 
Pandanarum; - ; - ; - ;1; - ; - ; - ; - ;2; - ; - ; - 
